contract_id,vendor_name,category,contract_value_usd,start_date,end_date,governing_law,liability_cap_usd,auto_renews,risk_flags,risk_level,owner_team
CTR0001,BrightPath Inc,Data & Analytics,1395301.7,2024-08-23,2026-08-13,TX,3107805.98,Yes,High Liability; High Value,High,Marketing
CTR0002,TrueData Co,Hardware,1014748.85,2025-05-18,2029-04-27,DE,2072397.62,Yes,High Liability; High Value,High,Finance
CTR0003,Clearline Ltd,SaaS,1084252.49,2025-03-01,2029-02-08,IL,2516254.87,No,High Liability; High Value,High,Finance
CTR0004,NovaSys,Data & Analytics,1347952.16,2025-03-07,2028-02-20,GA,3836601.28,No,High Liability; High Value,High,Design
CTR0005,NovaSys,SaaS,1344643.74,2023-09-11,2027-08-21,GA,3106190.65,Yes,High Liability; High Value,High,Design
CTR0006,Apex Consulting,Data & Analytics,468199.36,2022-06-20,2023-06-15,DE,644857.27,No,Expiring Soon,Medium,Marketing
CTR0007,DataBridge,Hardware,1252903.92,2022-11-01,2023-10-27,CA,2431152.83,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,People
CTR0008,Meridian Systems,NDA,1068495.63,2024-02-03,2027-01-18,DE,2610562.56,No,High Liability; High Value,High,People
CTR0009,Clearline Ltd,SaaS,1086230.93,2023-07-12,2025-07-01,IL,1208912.24,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Finance
CTR0010,Summit Analytics,MSA,1688939.85,2022-08-26,2023-08-21,WA,4042756.32,No,Expiring Soon; High Liability; High Value,High,People
CTR0011,Vertex Solutions,NDA,653857.29,2022-10-30,2026-10-09,DE,1413192.48,Yes,High Liability; High Value,High,Operations
CTR0012,Lattice Ops,SaaS,614415.85,2024-03-09,2028-02-17,DE,761856.01,Yes,High Value,Medium,Product
CTR0013,Acme Corp,MSA,1982476.92,2023-06-25,2024-06-19,MA,4934267.91,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,People
CTR0014,Meridian Systems,Professional Services,1794713.41,2022-08-09,2023-08-04,WA,2684950.5,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Sales
CTR0015,Summit Analytics,SaaS,771954.96,2023-04-27,2025-04-16,MA,1965492.57,No,Expiring Soon; High Liability; High Value,High,IT
CTR0016,Summit Analytics,SaaS,1003667.54,2022-09-04,2026-08-14,GA,2336382.27,No,High Liability; High Value,High,People
CTR0017,Clearline Ltd,Consulting,1745665.71,2023-12-11,2026-11-25,DE,3144662.58,Yes,High Liability; High Value,High,Marketing
CTR0018,Clearline Ltd,Hardware,1070007.49,2025-05-18,2028-05-02,CO,2342203.33,Yes,High Liability; High Value,High,Engineering
CTR0019,DataBridge,NDA,1218541.48,2024-12-10,2025-12-05,CO,1387848.78,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Operations
CTR0020,Nexus Partners,Professional Services,1207741.7,2025-01-12,2026-01-07,TX,2902250.13,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Product
CTR0021,TrueData Co,Data & Analytics,781767.17,2025-04-21,2027-04-11,DE,1383415.78,Yes,High Liability; High Value,High,Engineering
CTR0022,Clearline Ltd,Consulting,10813.73,2024-07-04,2027-06-19,FL,23010.02,Yes,None,Low,Engineering
CTR0023,Orion Global,MSA,125065.68,2024-11-22,2025-11-17,TX,236978.45,Yes,Expiring Soon; Auto-Renew Risk,High,Design
CTR0024,Meridian Systems,MSA,200412.15,2024-02-09,2027-01-24,NY,522877.01,No,None,Low,Engineering
CTR0025,DataBridge,MSA,659680.12,2025-01-11,2028-12-21,WA,1615323.34,No,High Liability; High Value,High,Marketing
CTR0026,Nexus Partners,Data & Analytics,1189929.56,2024-12-27,2026-12-17,FL,1392441.77,No,High Liability; High Value,High,Marketing
CTR0027,Lattice Ops,Data & Analytics,515246.83,2023-06-09,2025-05-29,NY,991564.52,Yes,Expiring Soon; Auto-Renew Risk; High Value,High,Operations
CTR0028,BrightPath Inc,Consulting,19414.83,2024-11-25,2025-11-20,DE,43789.21,No,Expiring Soon,Medium,Engineering
CTR0029,NovaSys,NDA,84434.1,2022-06-15,2026-05-25,MA,222140.91,Yes,Auto-Renew Risk,Medium,Product
CTR0030,Pinnacle Tech,Hardware,502912.76,2024-05-17,2026-05-07,MA,1225456.13,No,Expiring Soon; High Liability; High Value,High,People
CTR0031,Meridian Systems,SaaS,335002.23,2022-06-23,2023-06-18,IL,629720.74,No,Expiring Soon,Medium,People
CTR0032,Clearline Ltd,Hardware,902439.8,2025-01-22,2026-01-17,NY,1810050.77,No,Expiring Soon; High Liability; High Value,High,Operations
CTR0033,Meridian Systems,SaaS,1567463.7,2024-08-17,2028-07-27,WA,4064329.96,Yes,High Liability; High Value,High,Finance
CTR0034,Clearline Ltd,Professional Services,1763984.43,2023-12-08,2027-11-17,IL,2877294.0,Yes,High Liability; High Value,High,Sales
CTR0035,Nexus Partners,SaaS,1595864.05,2023-12-18,2026-12-02,CO,3001635.28,No,High Liability; High Value,High,People
CTR0036,Acme Corp,SaaS,1940763.61,2023-06-05,2024-05-30,CO,2199729.86,No,Expiring Soon; High Liability; High Value,High,Marketing
CTR0037,BrightPath Inc,Consulting,625966.17,2023-09-14,2026-08-29,IL,1341401.57,Yes,High Liability; High Value,High,People
CTR0038,Lattice Ops,Data & Analytics,496096.37,2024-05-12,2027-04-27,DE,1392307.72,No,High Liability,Medium,Design
CTR0039,TrueData Co,NDA,1801853.94,2022-04-09,2026-03-19,IL,3208649.13,No,Expiring Soon; High Liability; High Value,High,Finance
CTR0040,Orion Global,SaaS,367563.28,2023-06-10,2026-05-25,IL,1078697.84,Yes,High Liability; Auto-Renew Risk,High,Design
CTR0041,NovaSys,Data & Analytics,23064.66,2025-04-30,2029-04-09,MA,65552.85,No,None,Low,People
CTR0042,Vertex Solutions,NDA,740694.32,2022-09-26,2025-09-10,MA,827191.89,No,Expiring Soon; High Value,High,Operations
CTR0043,Acme Corp,Consulting,90028.11,2023-04-04,2026-03-19,MA,233610.38,No,Expiring Soon,Medium,People
CTR0044,Vertex Solutions,NDA,1983630.65,2025-03-10,2027-02-28,NY,3806669.72,No,High Liability; High Value,High,Design
CTR0045,BrightPath Inc,NDA,364519.32,2023-04-14,2026-03-29,GA,670365.21,Yes,Expiring Soon; Auto-Renew Risk,High,Operations
CTR0046,NovaSys,Professional Services,1012345.24,2023-12-05,2026-11-19,FL,2708772.55,Yes,High Liability; High Value,High,Legal
CTR0047,BrightPath Inc,SaaS,1875822.47,2023-11-19,2026-11-03,MA,4971214.12,Yes,High Liability; High Value,High,Legal
CTR0048,Meridian Systems,Professional Services,1289067.88,2023-02-19,2025-02-08,IL,3627704.3,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Legal
CTR0049,Acme Corp,NDA,1660863.86,2022-03-30,2025-03-14,WA,4548579.79,No,Expiring Soon; High Liability; High Value,High,Product
CTR0050,Clearline Ltd,Hardware,444060.87,2022-07-12,2025-06-26,FL,544589.94,Yes,Expiring Soon; Auto-Renew Risk,High,IT
CTR0051,ClearView AI,Hardware,1701016.09,2023-03-27,2026-03-11,DE,2305575.35,No,Expiring Soon; High Liability; High Value,High,People
CTR0052,Clearline Ltd,Professional Services,1088138.26,2024-11-08,2027-10-24,FL,3119186.23,Yes,High Liability; High Value,High,Design
CTR0053,Pinnacle Tech,Hardware,692521.12,2022-11-05,2023-10-31,IL,1828940.67,No,Expiring Soon; High Liability; High Value,High,Product
CTR0054,Vertex Solutions,Consulting,771076.28,2022-05-10,2026-04-19,CA,1772649.6,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Finance
CTR0055,NovaSys,NDA,870916.8,2022-11-26,2023-11-21,CA,2581653.89,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,IT
CTR0056,Clearline Ltd,Hardware,1664477.05,2022-11-16,2023-11-11,GA,4406329.05,No,Expiring Soon; High Liability; High Value,High,People
CTR0057,Clearline Ltd,Consulting,205358.4,2022-10-02,2025-09-16,DE,248008.31,Yes,Expiring Soon; Auto-Renew Risk,High,Engineering
CTR0058,ClearView AI,Hardware,1152212.25,2022-06-09,2026-05-19,IL,1319022.75,No,High Liability; High Value,High,Marketing
CTR0059,Vertex Solutions,Professional Services,1475058.42,2024-08-27,2028-08-06,IL,4212584.21,No,High Liability; High Value,High,Operations
CTR0060,Clearline Ltd,SaaS,209323.96,2024-07-13,2025-07-08,DE,260751.09,Yes,Expiring Soon; Auto-Renew Risk,High,Marketing
CTR0061,DataBridge,Hardware,248671.77,2024-09-09,2027-08-25,FL,735825.87,No,None,Low,Design
CTR0062,BrightPath Inc,Professional Services,1988913.98,2022-12-20,2024-12-09,WA,2177096.31,Yes,Expiring Soon; High Liability; Auto-Renew Risk; High Value,High,Finance
CTR0063,ClearView AI,Professional Services,187664.69,2023-04-19,2027-03-29,DE,559741.45,No,None,Low,Legal
